,WAITCLASS,SAMPLE_TIME,DB_TIME
443,Cluster,2016-08-18 21:36:00,0.0
444,Commit,2016-08-18 21:36:00,0.0
445,Concurrency,2016-08-18 21:36:00,0.0
446,Configuration,2016-08-18 21:36:00,0.0
447,Network,2016-08-18 21:36:00,0.002
448,Other,2016-08-18 21:36:00,0.019
449,System I/O,2016-08-18 21:36:00,0.009
450,User I/O,2016-08-18 21:36:00,0.001
451,Administrative,2016-08-18 21:37:00,0.0
452,Application,2016-08-18 21:37:00,0.0
453,CPU,2016-08-18 21:37:00,0.018
454,Cluster,2016-08-18 21:37:00,0.0
455,Commit,2016-08-18 21:37:00,0.0
456,Concurrency,2016-08-18 21:37:00,0.0
457,Configuration,2016-08-18 21:37:00,0.0
458,Network,2016-08-18 21:37:00,0.002
459,Other,2016-08-18 21:37:00,0.018
460,System I/O,2016-08-18 21:37:00,0.002
461,User I/O,2016-08-18 21:37:00,0.0
462,Administrative,2016-08-18 21:38:00,0.0
463,Application,2016-08-18 21:38:00,0.0
464,CPU,2016-08-18 21:38:00,0.006
465,Cluster,2016-08-18 21:38:00,0.0
466,Commit,2016-08-18 21:38:00,0.0
467,Concurrency,2016-08-18 21:38:00,0.0
468,Configuration,2016-08-18 21:38:00,0.0
469,Network,2016-08-18 21:38:00,0.002
470,Other,2016-08-18 21:38:00,0.015
471,System I/O,2016-08-18 21:38:00,0.003
472,User I/O,2016-08-18 21:38:00,0.0
473,Administrative,2016-08-18 21:39:00,0.0
474,Application,2016-08-18 21:39:00,0.0
475,CPU,2016-08-18 21:39:00,0.006
476,Cluster,2016-08-18 21:39:00,0.0
477,Commit,2016-08-18 21:39:00,0.0
478,Concurrency,2016-08-18 21:39:00,0.0
479,Configuration,2016-08-18 21:39:00,0.0
480,Network,2016-08-18 21:39:00,0.002
481,Other,2016-08-18 21:39:00,0.015
482,System I/O,2016-08-18 21:39:00,0.002
483,User I/O,2016-08-18 21:39:00,0.0
484,Administrative,2016-08-18 21:40:00,0.0
485,Application,2016-08-18 21:40:00,0.0
486,CPU,2016-08-18 21:40:00,0.01
487,Cluster,2016-08-18 21:40:00,0.0
488,Commit,2016-08-18 21:40:00,0.0
489,Concurrency,2016-08-18 21:40:00,0.0
490,Configuration,2016-08-18 21:40:00,0.0
491,Network,2016-08-18 21:40:00,0.003
492,Other,2016-08-18 21:40:00,0.015
493,System I/O,2016-08-18 21:40:00,0.003
494,User I/O,2016-08-18 21:40:00,0.008
495,Administrative,2016-08-18 21:41:00,0.0
496,Application,2016-08-18 21:41:00,0.0
497,CPU,2016-08-18 21:41:00,0.097
498,Cluster,2016-08-18 21:41:00,0.0
499,Commit,2016-08-18 21:41:00,0.0
500,Concurrency,2016-08-18 21:41:00,0.0
501,Configuration,2016-08-18 21:41:00,0.0
502,Network,2016-08-18 21:41:00,0.002
503,Other,2016-08-18 21:41:00,0.013
504,System I/O,2016-08-18 21:41:00,0.003
505,User I/O,2016-08-18 21:41:00,0.379
506,Administrative,2016-08-18 21:42:00,0.0
507,Application,2016-08-18 21:42:00,0.0
508,CPU,2016-08-18 21:42:00,0.42
509,Cluster,2016-08-18 21:42:00,0.059
510,Commit,2016-08-18 21:42:00,0.0
511,Concurrency,2016-08-18 21:42:00,0.0
512,Configuration,2016-08-18 21:42:00,0.0
513,Network,2016-08-18 21:42:00,0.04
514,Other,2016-08-18 21:42:00,0.021
515,System I/O,2016-08-18 21:42:00,0.061
516,User I/O,2016-08-18 21:42:00,1.017
517,Administrative,2016-08-18 21:43:00,0.0
518,Application,2016-08-18 21:43:00,0.0
519,CPU,2016-08-18 21:43:00,0.364
520,Cluster,2016-08-18 21:43:00,0.001
521,Commit,2016-08-18 21:43:00,0.0
522,Concurrency,2016-08-18 21:43:00,0.0
523,Configuration,2016-08-18 21:43:00,0.0
524,Network,2016-08-18 21:43:00,0.003
525,Other,2016-08-18 21:43:00,0.017
526,System I/O,2016-08-18 21:43:00,0.002
527,User I/O,2016-08-18 21:43:00,0.697
528,Administrative,2016-08-18 21:44:00,0.0
529,Application,2016-08-18 21:44:00,0.0
530,CPU,2016-08-18 21:44:00,0.375
531,Cluster,2016-08-18 21:44:00,0.0
532,Commit,2016-08-18 21:44:00,0.0
533,Concurrency,2016-08-18 21:44:00,0.0
534,Configuration,2016-08-18 21:44:00,0.0
535,Network,2016-08-18 21:44:00,0.002
536,Other,2016-08-18 21:44:00,0.015
537,System I/O,2016-08-18 21:44:00,0.002
538,User I/O,2016-08-18 21:44:00,0.67
539,Administrative,2016-08-18 21:45:00,0.0
540,Application,2016-08-18 21:45:00,0.0
541,CPU,2016-08-18 21:45:00,0.722
542,Cluster,2016-08-18 21:45:00,0.001
543,Commit,2016-08-18 21:45:00,0.0
544,Concurrency,2016-08-18 21:45:00,0.0
545,Configuration,2016-08-18 21:45:00,0.0
546,Network,2016-08-18 21:45:00,0.003
547,Other,2016-08-18 21:45:00,0.017
548,System I/O,2016-08-18 21:45:00,0.002
549,User I/O,2016-08-18 21:45:00,0.649
550,Administrative,2016-08-18 21:46:00,0.0
551,Application,2016-08-18 21:46:00,0.0
552,CPU,2016-08-18 21:46:00,0.437
553,Cluster,2016-08-18 21:46:00,0.0
554,Commit,2016-08-18 21:46:00,0.0
555,Concurrency,2016-08-18 21:46:00,0.0
556,Configuration,2016-08-18 21:46:00,0.0
557,Network,2016-08-18 21:46:00,0.002
558,Other,2016-08-18 21:46:00,0.014
559,System I/O,2016-08-18 21:46:00,0.002
560,User I/O,2016-08-18 21:46:00,0.61
561,Administrative,2016-08-18 21:47:00,0.0
562,Application,2016-08-18 21:47:00,0.0
563,CPU,2016-08-18 21:47:00,0.415
564,Cluster,2016-08-18 21:47:00,0.0
565,Commit,2016-08-18 21:47:00,0.0
566,Concurrency,2016-08-18 21:47:00,0.0
567,Configuration,2016-08-18 21:47:00,0.0
568,Network,2016-08-18 21:47:00,0.002
569,Other,2016-08-18 21:47:00,0.014
570,System I/O,2016-08-18 21:47:00,0.003
571,User I/O,2016-08-18 21:47:00,0.628
